ID,id_rechov,me_k_rechov,me_shem_rechov,ad_k_rechov,ad_shem_rechov,tr_from,tr_to,k_sug,t_sug,k_sgira,shaot,sw_laila
465,2167,788,שאול המלך,193,ארלוזורוב,17/04/2018 0:00,17/04/2018 0:00,5,ארוע,2,"18:30-23:30 ערב יום הזיכרון 17.4.18 אירוע "" שרים בכיכר"" הרחובות ייסגרו לתנועה החל משעה 18:30 עד 23:30.",1
466,1241,941,לבנון חיים,2050,קלוזנר,12/11/2015 0:00,12/11/2015 0:00,5,ארוע,2,19:00-21:00 מירוץ האוניברסיטה,1
467,1381,502,יהודה המכבי,193,ארלוזורוב,25/03/2016 0:00,25/03/2016 0:00,24,ארוע פורים,2,08:00-18:00 מסיבת פורים בכיכר המדינה 25.3 משעה 08:00-18:00,0
468,2652,3540,הפטיש,3539,העמל,01/09/2019 0:00,26/09/2019 0:00,1,שיפור תשתיות מדרכות וכביש,2,09:00-17:00 א - ה,0
469,2678,3809,לוי יוסף גונדר,96,פרישמן,14/06/2019 0:00,14/06/2019 0:00,5,ארוע,2,08:00-19:00 מצעד הגאווה,0
470,2175,445,קפלן אליעזר,193,ארלוזורוב,17/04/2018 0:00,17/04/2018 0:00,5,ארוע,2,"18:30-02:00 ערב יום הזיכרון 17.4.18 אירוע ""שרים בכיכר"" הרחובות ייסגרו לתנועה החל מ 18:30 עד 23:30",1
471,2226,2130,שיטרית בכור,870,דבורה הנביאה,05/05/2018 0:00,05/05/2018 0:00,5,ארוע,2,14:30-19:00 אירוע ג'ירו איטליה 5.5.2018 יום שבת הכבישים ייחסמו לתנועה החל משעה 13:00 עד 19:00.,0
472,2250,191,שלמה המלך,496,אבן גבירול,05/05/2018 0:00,05/05/2018 0:00,5,ארוע,2,14:30-19:00 אירוע ג'ירו איטליה 5.5.2018 יום שבת,0
473,1547,285,"שי""ר",193,ארלוזורוב,17/07/2016 0:00,22/07/2016 0:00,2,הפרעה לתנועה,2,09:00-16:00 ,0
474,2482,788,שאול המלך,2051,רוקח ישראל,13/11/2018 0:00,13/11/2018 0:00,5,ארוע,2,18:00-00:00 מרוץ לילה,1
475,2491,496,אבן גבירול,344,הוברמן,13/11/2018 0:00,13/11/2018 0:00,5,ארוע,2,18:00-00:00 מרוץ לילה,1
476,247,328,שטנד,406,המלך ג'ורג',29/07/2012 0:00,13/09/2012 0:00,1,שיפור תשתיות מדרכות וכביש,1,08:00-17:00 סגור רק בשעות העבודה,0
477,4257,491,שלומציון המלכה,502,יהודה המכבי,10/11/2021 0:00,11/11/2021 0:00,5,ארוע,2,19:30-01:00 מרוץ לילה,1
478,4410,6106,כ.מרוקח מז.לדרום6106,6105,י.מדרום לאוני' 6105,02/11/2022 0:00,03/11/2022 0:00,5,ארוע,2,19:00-01:00 חסימה לכיוון שדרות ירושלים .מרוץ לילה,1
479,2452,3240,אד קוץ',3000,בן צבי,28/09/2018 0:00,28/09/2018 0:00,5,ארוע,2,04:00-14:00 ,1
480,2332,60,יוחנן הסנדלר,406,המלך ג'ורג',08/06/2018 0:00,08/06/2018 0:00,5,ארוע,2,08:30-14:00 מצעד הגאווה,0
481,2526,437,אחוזת בית,1223,ויסר חנה ומרדכי,02/12/2018 0:00,04/12/2018 0:00,6,יציקות בטון,2,00:30-05:00 ,1
482,2869,27,הירקון,3488,גולדמן נחום,28/02/2020 0:00,28/02/2020 0:00,23,ארוע מרתון,2,04:00-11:30 ,1
483,1632,496,אבן גבירול,193,ארלוזורוב,16/11/2016 0:00,16/11/2016 0:00,5,ארוע,2,19:00-00:00 ארוע מרוץ לילה 2016  ביום ד' ה 16.11.16 בין השעות 19:00 ל 00:00.,1
484,671,3000,בן צבי,3570,אילת,26/06/2014 0:00,27/06/2014 0:00,5,ארוע,3,21:00-05:00 לילה לבן,1
485,1310,476,קרליבך,8,רוטשילד,26/02/2016 0:00,26/02/2016 0:00,23,ארוע מרתון,2,"04:00-14:00 אירוע מרתון ת""א 26.2.16",1
